Parti;Courant politique;Arrêter l'accroissement de la pression fiscale.;LDB
LCR;GR;La loi doit interdire les licencie- ments, récupérer les profits patro- naux et bancaires pour imposer la création massive d'emplois, servant à satisfaire les besoins sociaux (lo- gement, santé, transports) afin d'en finir avec le chômage.;0
LCR;GR;Les progrès technologiques permet- tent à la veille de l'an 2 000 de faire une loi pous les trente-cinq heures sans perte de salaire et de passer rapidement aux trente heures.;0
LCR;GR;"Revenu minimum garanti ; défense du SMIC ; augmentation des salai- res ; garantie des retraites ; suppres- sion des taux d'intérêt usuriers sur les crédits des ménages, abrogation des dettes des chômeurs.";0
LCR;GR;En coupant dans les crédits mili- taires et en s'attaquant aux formi- dables profits tirés de la spéculation en Bourse …;0
LCR;GR;Assez des institutions monarchiques de la Ve République et de la loi du fric. Il faut la proportionnelle inté- grale, le contrôle des décisions par les citoyens. Imposons les droits des immigrés, notamment celui de voter à toutes les élections. Im- posons le respect des droits des femmes : à travail égal, salaire égal. Respect du droit à l'avortement et à la contraception libre et pris en charge par la Sécurité sociale.;0
LCR;GR;Il est possible de construire une société qui respecte les équilibres écologiques et garantisse à chacun les moyens de vivre sans marées noires, sans nucléaire, sans pollu- tion.;1
LCR;GR;Maastricht, c'est une Europe repliée sur elle-même. Dure aux opprimés et indifférente, voire hostile, à l'égard des peuples de l'Est et du Sud. Nous voulons une autre Europe, de justice, d'égalité, de paix.;1
LCR;GR;"« Voter pour Michel Bousquet et Louis-Marie Barnier, c'est voter pour des candidats qui n'ont jamais été compromis dans la gestion gouvernementale. Ni hier avec le Parti socialiste et le Parti communiste ; ni avant-hier avec la droite. Des candidats qui se revendiquent des combats quotidiens qui sont les vôtres, dans les entreprises, les bureaux, les écoles, les quartiers. Et qui n'ont d'autre ambition que de défendre une politique de changement social, d'autre espoir que celui d'une société débarrassée de toute forme d'oppression et d'exploitation.";1
Parti Radical;Gauche;D imanche dernier les électrices et les électeurs ont décidé par un vote sans précédent de donner à la droite une majorité écrasante à l'Assemblée nationale, unique dans l'histoire de la France.;1
Parti Radical;Gauche;Aujourd'hui, pour un bon équilibre démocratique de nos institutions, il est indispensable que les valeurs républicaines de progrès soient représentées au Parlement le plus fortement possible.;1
Parti Radical;Gauche;Ensemble nous avons déjà beaucoup œuvre dans une volonté de large rassemblement pour défendre les intérêts du département et construire l'avenir.;1
Parti Radical;Gauche;Dimanche prochain, ici, vous allez choisir votre député. Celui qui vous représentera, devra travailler parmi vous, bien connaître vos problèmes et traiter les dossiers avec compétence.;1
Parti Radical;Gauche;L'enjeu est clair et je sais que vous choisirez pour notre circonscription et le Tarn-et-Garonne la voie de la générosité, de l'efficacité et de l'expérience.;1
FN;DR;"Conseiller Régional d'Ile-de-France Chef d'entreprise
un Engheinnois, un élu à la Chambre de Commerce et d'Industrie de Paris
le seul candidat capable de donner des solutions contre le chômage.";1
FN;DR;Que l'UPF ait 480 ou 481 députés, c'est un camouflet pour la démocratie et cela ne changera rien, surtout qu'ils coha- biteront.;1
FN;DR;Par contre, un député Front National, c'est l'assurance pour l'avenir de la France. C'est un élu qui sera présent et défendra vos intérêts.;1
FN;DR;"ARRÊTER L'IMMIGRATION
Par l'expulsion des clandestins.
Par l'arrêt du regroupement fami- lial et la suppression des ""certificats d'hébergement"" délivrés à de nouveaux immigrés par les maires de nos villes.
Par la priorité d'accès des Français au logement, à l'aide sociale et à l'emploi.
Par la réforme du code de la nationalité en supprimant l'ac- quisition automatique de la nationalité française.";0
FN;DR;ÊTRE FRANÇAIS, CELA S'HÉRITE OU SE MÉRITE …;1
FN;DR;"DONNER DU TRAVAIL AUX FRANÇAIS
Par la protection des produits fran- çais et européens, face à la concur- rence étrangère sauvage.";0
FN;DR;Par l'abaissement des charges et impôts qui pèsent sur les PME, les artisans, les commerçants, pour leur permettre d'embaucher.;0
FN;DR;Par la réduction de l'immigration et la priorité aux Français.;0
FN;DR;Par la généralisation de l'apprentissage qui permet d'appren- dre un vrai métier.;0
FN;DR;"INSTAURER LE REVENU PARENTAL
En proposant 6000 F. par mois aux mères (ou aux pères) de famille française désireux d'élever leurs enfants à temps complet.
Cette mesure relancera la natalité et libérera des emplois.";0
FN;DR;"RESTAURER LA SECURITÉ DANS NOS QUARTIERS ET NOS CITÉS
Par une vigoureuse répression des agressions dans la rue, les transports en commun, les écoles et les cités.
Par le rétablissement de la peine de mort notamment pour les trafiquants de drogue et les assassins d'enfants.
Par l'expulsion des délinquants étrangers.";0
FN;DR;RASSURONS LES HONNÊTES GENS, PUNISSONS LES DÉLINQUANTS;1
FN;DR;RÉDUIRE LES IMPÔTS Par une réforme fiscale qui permettra de restaurer la confiance des entrepreneurs, des commerçants et des artisans et la motivation des travailleurs,;0
FN;DR;Par une réforme fiscale qui permettra de restaurer la confiance des entrepreneurs, des commerçants et des artisans et la motivation des travailleurs,;0
FN;DR;"SI VOUS VOULEZ UN DÉPUTÉ ...
1 Qui ait les mains propres.
2 Qui soit patriote, libre et indépen- dant des lobbies et des mafias
3 Qui vous dise la vérité.
4 Qui défende les Français d'abord.
5 Qui combatte la drogue, le chômage, l'insécurité et les excès fiscaux ainsi que la corruption.";1
Ecolos;Gauche;Au départ, l'écologie semblait un rêve mais, peu à peu, les réalités ont donné raison aux écologistes.;1
Ecolos;Gauche;Réanimer la démocratie, préserver la planète, permettre à chaque être humain de mener sa vie dans la dignité, voilà l'urgence.;1
Ecolos;Gauche;Aujourd'hui, l'écologie inspire un projet ouvert sur le monde moderne. C'est une nouvelle manière d'aborder les difficultés de notre société : le chômage, la récession économique, la solitude, l'absence de solidarité et de fraternité.;1
Ecolos;Gauche;Les écologistes apportent un souffle nouveau à la vie publique.;1
Ecolos;Gauche;Responsables, actifs, indépendants, ils veulent réconcilier l'économie, la nature et l'homme, la morale et la politique …;1
Ecolos;Gauche;Pour donner une vraie chance à l'écologie, les candidats de l'Entente des Ecologistes ont réuni leurs efforts. Les Verts et Génération Ecologie sont une force nouvelle capable de répondre aux problèmes actuels par des solutions humaines, audacieuses, respectueuses de l'environnement.;1
Ecolos;Gauche;"""PRESERVONS LE VAR""
- L'urbanisation anarchique du littoral et de l'arrière pays.
- La pollution des rivages de la mer et des rivières.
- la forêt toujours menacée.
- La dégradation de la qualité de la vie urbaine ...
nous conduisent à un désastre écologique qui entraînera le déclin touristique et économique du Var.";1
Ecolos;Gauche;Il est urgent d'agir au niveau national pour une politique proche des citoyens et un développement durable :;1
Ecolos;Gauche;Protection du littoral et de la mer par l'application stricte de la loi.;0
Ecolos;Gauche;Lutter efficacement contre le bruit et la pollution de l'air.;0
Ecolos;Gauche;Préserver le patrimoine et le caractère de nos quartiers.;0
Ecolos;Gauche;Adopter une véritable politique de collecte des ordures ménagères et de recyclage. Construire la ville aux dimensions humaines.;0
Ecolos;Gauche;Développer une véritable politique des transports en commun.;0
Ecolos;Gauche;Associer les habitants à la vie de la cité (CIL, POS ... ).;0
Ecolos;Gauche;Développer le commerce de proximité.;0
Ecolos;Gauche;Arrêter l'accroissement de la pression fiscale.;0
Ecolos;Gauche;Encourager l'implantation de nouvelles activités de formation, de recherche et de services valorisant notre patrimoine naturel et culturel.;0
Ecolos;Gauche;"En nous apportant votre soutien, vous défendrez votre cadre de vie, un développement humain et durable du Var, au coeur de la Provence ...
Pour le bonheur des générations futures.";1
PR;Droite;Dimanche dernier vous avez exprimé un premier choix. Vous avez refusé la politique gouvernementale et vous avez choisi, largement en tête dans toute la France, les Candidats de l'Union et du Renouveau.;1
PR;Droite;En Allemagne, comme en France, l'extrême-droite réapparaît. Elle durcit le ton et inquiète. Derrière elle, souvent, commence la violence.;1
PR;Droite;Chez nous, son seul souci est d'empêcher l'opposition d'aujourd'hui de devenir majoritaire pour rendre une espérance au pays.;1
PR;Droite;Sans perspective sociale, sans générosité, sans le mouvement du cœur qui est nécessaire à toute action publique elle divise et affaiblit plus qu'elle ne rassemble et renforce.;1
PR;Droite;"Une fois la campagne électorale terminée, il faudra réunir les Français :
· Autour des valeurs de la République;
· Autour d'une fierté commune;
· Autour d'un vrai projet économique et social.";1
PR;Droite;Réussir en Europe : la paix, la culture, la démocratie c'est un idéal qui peut et doit rassembler la jeunesse française, lui rendre une véritable espérance.;1
Indépendants;Gauche;"L'EMPLOI et l'AGRICULTURE sont actuellement confrontés chez nous à des difficultés considérables du fait de l'insuffisance de clients solvables.
En France : 3 millions de chômeurs ; dans la Grande Europe (de l'Atlantique à l'Oural) 30 millions ; dans le Tiers-Monde 300 millions de chômeurs. (3 milliards d'individus ont moins de 150 F par mois pour vivre).";0
Indépendants;Gauche;Avec des frontières ouvertes sur le monde et une telle masse de personnes sans ressources, aucune proposition limitée à l'intérieur de la France, telle que la réduction du temps de travail, la réduction des charges, les privatisations ou le renvoi chez eux des travailleurs immigrés en surnombre, ne peut remédier à nos problèmes d'emploi et d'agriculture.;1
Indépendants;Gauche;Les candidats et les Partis qui, pendant la campagne, prétendent répondre tout simplement NON au GATT et à Bruxelles, conduiront la France à la capitulation et à plus de chômage.;1
Indépendants;Gauche;"SEULS, parmi tous les candidats, NOUS PROPOSONS à la Communauté Internationale et au GATT, UNE INITIATIVE DE RELANCE ECONOMIQUE MONDIALE en direction des REGIONS LES PLUS DESHERITEES de la PLANETE.
Cette proposition, ne nécessite aucun recours, ni à l'EMPRUNT, ni aux IMPOTS nationaux ; elle n'implique NI PROTECTIONNISME, NI LIBERALISME SAUVAGE.";0
Indépendants;Gauche;"Instauration avec l'aide du Bureau International du Travail et du GATT, d'une taxe internationale, destinée à harmoniser progressivement les coûts du travail sur la planète. Au début, cette taxe serait perçue seulement par les douanes des 26 pays les plus riches, sur les importations de biens ou de services incluant une forte proportion de travail bon marché.
(Il n'est pas normal que les peuples riches consomment du travail sous-payé).";0
Indépendants;Gauche;Avec une incidence limitée à seulement 0,9 % du prix de gros de l'ensemble des consommations des 800 millions d'habitants de ces 26 pays dont le Produit Intérieur Brut annuel moyen par habitant est de 11 millons de centimes, cette taxe pourrait déjà rapporter 600 milliards de francs (60 000 milliards de centimes) par an.;0
Indépendants;Gauche;Le produit de cette taxe (après déduction éventuelle des frais de collecte) serait intégralement et directement affecté à l'exécution par des travailleurs locaux des REGIONS les plus déshéritées du globe, de menus travaux d'intérêt collectif (points d'eau potable, assainissement des eaux usées, routes et ponts d'usage local ou régional).;0
Indépendants;Gauche;Processus d'exécution des travaux : en régie directe, encadrés par des Organisation Non Gouvernementales (internationales), placées sous le contrôle d'une. autorité publique internationale, sans l'intervention ni d'entreprises à but lucratif, ni de gouvernements centraux.;1
Indépendants;Gauche;"Conséquences directes sur l'EMPLOI et l'AGRICULTURE
- dans les pays pauvres : 100 millions d'emplois à temps partiel (6 mois par an)
- dans les pays riches : 5 millions d'emploi à plein temps
- Reprise de la demande de produits agricoles et alimentaires des pays actuellement insolvables.";0
Indépendants;Gauche;"Conséquences sociales
- Maintien dans leurs régions natales d'origine de millions de candidats à l'émigration.
- Elévation du niveau sanitaire dans les pays pauvres
- Diminution du chômage et de la désertification rurale dans l'ensemble du monde.";1
Indépendants;Gauche;"Conséquences économiques et financières
- Reconstitution des réserves monétaires des pays les plus pauvres
- Développement de la demande mondiale des biens de première nécessité (agro-alimentaire, pêche, habillement, textile, chaussure, produit du bois et équipements ménagers)
- Rétablissement de la compététivité des activités économiques correspondant à cette demande
Il s'agit en définitive, d'une POLITIQUE ECOLOGIQUE COHERENTE, amorçant un transfert de CONSOMMATION des régions riches vers les régions pauvres du globe.";1
Indépendants;Gauche;"Pour améliorer le fonctionnement de la démocratie française et mieux utiliser l'argent de l'impôt et des services publics.
L'ensemble des services publics utilise en France 2 400 milliards de francs par an (240 000 milliards de centimes).
Un meilleur contrôle et une meilleure orientation de l'emploi de ces fonds permettrait d'affecter 150 à 200 milliards pour créer 3 à 400 000 emplois publics (éducation, santé, postes, chemins de fer, gardes champêtres) :
- dans les zones rurales en voie de désertification - dans les banlieues sous-équipées.";1
Indépendants;Gauche;"Avec prudence et après concertation avec toutes les parties concernées, il conviendrait de rendre notre fiscalité
- plus performante économiquement :
plusieurs impôts découragent en France le logement, l'agriculture, l'emploi
- plus transparente et équilibrée :
entre les revenus du travail, ceux de l'entreprise et ceux de la spéculation financière
- plus simple et moins envahissante.";1
Indépendants;Gauche;"Le maintien indispensable des ""Acquis Sociaux"" doit passer absolument :
- par une reprise de la croissance internationale (prioritaire) - mais aussi par une profonde réforme de gestion dans le sens de l'égalisation progressive des différents régimes et de la responsabilisation conjointe des assurés, des professions de santé et des usagers de la route.
Ces mesures devront être étudiées avec prudence et en concertation avec tous les intéressés.
Sur 1 700 milliards (170 000 milliards de centimes) une économie globale de 100 milliards pourrait alléger d'autant les charges du budget de l'Etat.";1
Indépendants;Gauche;"Le ""Centralisme Parisien"" et la ""Constitution Française"" encouragent une ""dérive monarchique"" insupportable pour la démocratie.
Cette ""dérive"" accentue chaque jour davantage le ""déséquilibre"" entre une ""région capitale"" qui draine vers elle les activités ainsi que les grands projets démesurés et somptuaires, au détriment des autres régions, telle la nôtre, appelées à héberger ""des résidences de week-end ou de vacances"" pour une certaine ""NOMENKLATURA"".";1
Indépendants;Gauche;"Les méfaits économiques, sociaux et culturels de cette écrasante domination jacobine se lisent :
- dans le retard économique de la France unitaire comparée aux Etats fédéraux que sont la Suisse et l'Allemagne
- autant que dans le retard de la Provence et du Languedoc comparés à la Toscane et à la Catalogne, méditerranéennes comme nous, mais jouissant d'une plus grande autonomie de gestion.
Nous avons des propositions dynamiques pour moderniser nos rapports ""Etat-Régions"" et rapprocher les citoyens de la prise de décision.";1
Ecolos;Gauche;"Pour l'homme : Les conventions Internationales doivent veiller à ce que les aspirations naturelles et fondamentales de l'être humain soient respectées.
Cela suppose : La création d'un Temps Minimun de Travail Garanti, l'accés généralisé à la propriété, une nouvelle répartition des riches- ses et un renouveau des valeurs spirituelles.";1
Ecolos;Gauche;Pour la Nature : Dans tous les secteurs d'activités techniques, scientifiques et industrielles, les Etats doivent prévoir l'existence d'organismes écologiques de contrôle, disposant du droit de véto. Ainsi, tout risque de pollution sera écarté.;0
Ecolos;Gauche;Pour les Animaux : Interdiction de la vivisection, pratiquée uniquement pour des questions d'argent. Amélioration de leurs conditions d'existence. Lutte contre les abus de la chasse, les corridas, les massacres dans les abattoirs, les abandons et les mauvais traitements.;1
Indépendants;Gauche;"Ensemble, ils forment une équipe
- jeune, expérimentée, dynamique, pragmatique
- disponible et attentive, à l'écoute de tous
- déterminée à se faire entendre, exigeant l'équité et la transparence
- recherchant le développement et soucieuse de notre environnement mais en privilé- giant les actes et les opérations concrètes.";1
Indépendants;Gauche;"Sollicités par leurs amis unanimes (P.S., majorité présidentielle, centre et divers gauche) ils ont accepté d'être candidats aux conditions suivantes :
- hommes d'idéal et de convictions, ils reconnaissent néanmoins les erreurs commises
- ils sont candidats d'union et de rassemblement des forces de progrès et entendent travailler avec tous
- ils sont prêts à prendre sur le terrain le relais d'une recomposition voulue par beaucoup
- ils ont toujours condamné les excès et les débordements et s'engagent à se dissocier en cas de dysfonctionnement majeur";1
Indépendants;Gauche;"Homme de contact, Guy VAXELAIRE a toujours entretenu de bonnes relations (y compris de travail) avec Christian SPILLER, député sortant. L'estime mutuelle pour eux n'est pas un vain mot mais une réalité.
En bref, ils se proposent de
SERVIR LA CIRCONSCRIPTION ET NON S'EN SERVIR";1
Indépendants;Gauche;"Leurs mandats d'élus communaux au contact permanent des populations en sont le meilleur témoignage.
Nota : Pour cette campagne, ils n'ont pas voulu déranger les habitants à leur domicile en faisant du porte à porte, mais ont été présents sur tous les lieux publics et ont rencontré les élus locaux lors des réunions dans chaque commune. Un journal de campagne a été rédigé : ceux qui ne l'auraient pas reçu peuvent le demander.";1
Indépendants;Gauche;"il s'engagent à :
- mettre en place un secrétariat ouvert à tous
- tenir à Remiremont une permanence hebdomadaire (en tant que Maire et Conseiller Général, Guy VAXELAIRE le fait dans sa commune)
- rendre compte régulièrement en diffu- sant dans toutes les familles plusieurs comptes-rendus d'activités par an
- rester en permanence proches des habi- tants, au contact des réalités.";1
Indépendants;Gauche;"La France s'est modernisée tant au niveau de ses entreprises que de ses administrations. Pourtant, le chômage persiste dans un contexte international difficile ; c'est sur ce sujet qu'il y a eu le plus de déceptions ; nous comprenons l'amertume de tous ceux qui sont privés d'emploi.";1
Indépendants;Gauche;"Se voulant réalistes, Guy VAXELAIRE et Claude JACQUEL ne font pas de promesse, mais s'enga- gent à :
- rechercher en permanence le maintien et la création d'emplois
- lutter pour préserver les acquis sociaux
- favoriser le maintien de l'agriculture, du commerce au cœur de nos communes
- accorder en permanence la priorité : Education - Formation - Recherche
- refuser toute exclusion, favoriser l'action humanitaire construire l'Europe
- exiger l'égalité des chances, la solidarité, la cohésion sociale
- soutenir une réelle politique d'aménagement du territoire, tenant compte de la ruralité
- poursuivre le désenclavement en s'ouvrant davantage vers l'Alsace.";1
Indépendants;Gauche;"DANS LES VOSGES, DANS NOTRE CIRCONSCRIPTION, Guy VAXELAIRE et Claude JACQUEL veulent :
- encourager et susciter les projets des communes, des entreprises, des associations (Trop souvent des hommes politiques réclament moins de charges de l'Etat mais pratiquent pour la gestion de leurs collectivités une fiscalité élevée. Ils leur arrivent même parfois de bloquer ou d'empêcher des projets locaux).
- écouter, comprendre et accompagner les projets des jeunes.";1
Indépendants;Gauche;"Ensemble, ils revendiquent :
INTÉGRITÉ - SINCÉRITÉ - DÉVOUEMENT
Pour cette campagne, ils ont obtenu le soutien de différents partenaires : maires, élus locaux, responsables économiques et sportifs, associations, etc …";1
Parti Ras le Bol (RLB);Droite;"Je suis le candidat RLB pour votre circonscription. Je ne suis pas un professionnel de la politique, mais, comme vous, quelqu'un qui en a ""ras le bol"" des mensonges, des ""magouilles"" et des éternelles promesses jamais tenues.";1
Parti Ras le Bol (RLB);Droite;Pourtant de réelles solutions existent et sont à Notre portée. Nous avons un réel programme innovant et qui permettra à notre Pays de retrouver toute sa richesse et d'en partager les fruits.;1
Parti Ras le Bol (RLB);Droite;Je crois avec sincérité que le changement est possible avec vous et que nous devons donner autre chose à nos enfants qu'un futur sans avenir.;1
Parti Ras le Bol (RLB);Droite;"4 POINTS ESSENTIELS ET PRIORITAIRES :
Ce sont les 4 points cardinaux d'une réforme nécessaire à TOUS !
1 - CHANGER L'ATMOSPHÈRE DU PAYS.
2 - INSTAURER UNE LOI CADRE DE LA POLITIQUE ECONOMIQUE ET DE L'EMPLOI.
a) Stabiliser le Chômage.
b) Appliquer une réelle politique de DECRUE et de RELANCE.
c) Redéfinir une politique économique générale et agricole, et une politique de l'export.
d) La mise en place d'une profonde réforme judiciaire, sociale, de l'enseignement et de la formation.";1
Parti Ras le Bol (RLB);Droite;"3 - REFORMER LA POLITIQUE ECONOMIQUE, BUDGÉTAIRE ET MONÉTAIRE DE L'ETAT.
4 - IL FAUT ENFIN RESTAURER L'ETAT.";1
Parti Ras le Bol (RLB);Droite;Mon action consistera à alléger les charges de l'Etat, à rendre la Société plus juste et plus Humaine et sa Dignité à chacun d'entre nous. A réduire le gaspillage et à nous permettre de retrouver le droit au travail, des anciens moins abandonnés et des enfants qui sourient.;1
Parti Ras le Bol (RLB);Droite;La mission de notre Mouvement et mon engagement personnel sont d'être au service de la collectivité dans le plus pur esprit Républicain.;1
Parti Ras le Bol (RLB);Droite;"Rendre à notre Devise : LIBERTÉ, ÉGALITÉ, FRATERNITÉ tout son vrai sens.
C'est mon Défi pour vous.";1
Parti des travailleurs;GR;"MAIS IL EXISTE UNE ISSUE
Elle viendra de l'union des travailleurs des villes et des campagnes .";1
Parti des travailleurs;GR;"Une mobilisation de plus en plus puissante se développe :
+ en 1992, cheminots, agriculteurs, personnels de santé, etc ... ont manifesté en masse .
+ le 4 février 1993, à Avallon, 400 enseignants, parents et lycéens unis ont ""accueilli"" le Recteur pour exiger le maintien des sections sur les lycées de Tonnerre et d'Avallon.
+ dans tout le pays , manifestations et grèves se succèdent et se multiplient contre les plans de licenciements et contre la politique de droite du gouvernement .";0
Parti des travailleurs;GR;"Une urgence s'impose à tous : FORGER L'UNITE POUR AGIR TOUS ENSEMBLE
Pour un plan de relance en faveur des travailleurs et de la jeunesse
+ annulation des plans de licenciements,
+ confiscation des centaines de milliards utilisés pour la spéculation,
+ création de vrais emplois avec de vrais salaires,
+ augmentation du pouvoir d'achat , et défense des retraites,
+ préservation des petites exploitations agricoles et du revenu des agriculteurs
+ construction de logements sociaux,
+ arrêt du processus de privatisations et maintien des services publics,
+ respect de la laïcité de l'Etat et de l'Ecole ,
+ défense et promotion de l'enseignement public,
+ préservation du service public de santé et défense de la Sécurité Sociale.";0
Parti des travailleurs;GR;"Pour la démocratie
+ pour un gouvernement responsable devant une Assemblée Constituante souveraine,
Pour la solidarité avec les travailleurs et les peuples du monde entier
+ Halte à la guerre , retrait des troupes françaises et étrangères,
+ Droit des peuples à disposer d'eux-mêmes.";1
Parti des travailleurs;GR;C'est pour oeuvrer au rassemblement de tous que le PARTI DES TRAVAILLEURS a proposé des candidatures d'unité pour la défense des travailleurs .;1
Parti des travailleurs;GR;"Madame, Mademoiselle, Monsieur,
Existe-t-il une issue à la crise que traverse notre pays ? Les travailleurs, les chômeurs, les jeunes peuvent-ils attendre quelque chose de positif des élections de mars prochain ?
Il ne peut rien sortir de bon d'un Parlement que la Constitution antidémocratique de la Vè République réduit à une chambre d'engistrement de toutes les mesures anti-populaires dictées par le grand capital .";1
Parti des travailleurs;GR;"Le gouvernement trouve des milliards par dizaines et par centaines pour les opérations militaires, pour envoyer des bombardiers en Irak et pour "" défendre le franc "". 140 milliards déboursés par la Banque de France début janvier
MAIS PAS D'ARGENT POUR LES SERVICES PUBLICS ET POUR L'EMPLOI";1
Parti des travailleurs;GR;Notre région est menacée de désertification : liquidation des petites exploitations agricoles, remise en cause des services publics de proximité (SNCF, Poste ... ) , écrasement financier et pressions autoritaires sur les communes rurales .;1
Parti des travailleurs;GR;"Le gouvernement veut fermer des sections dans les lycées de Tonnerre et d' Avallon , supprimer des postes dans les collèges ruraux (Ancy le Franc) et 16 classes dont 10 rurales dans les écoles du département . Il menace l'existence des services dans les hôpitaux de Tonnerre et d'Avallon ; il laisse liquider l'emploi industriel, en particulier à J2T, filiale du trust nationalisé Thomson ou à Giblin-Lavault dont la société nationale Elf-Aquitaine détenait une part du capital .";0
Parti des travailleurs;GR;Aucun domaine n'est épargné . C'est le résultat de la trahison du mandat que Mitterrand et les dirigeants du PS et du PCF avaient sollicité du peuple en 1981.;1
Parti des travailleurs;GR;"Mr NALLET qui signe un appel pour ""la défense du franc"" avec d'éminents dirigeants de la droite et Mr GREZARD osent encore se présenter comme ""des défenseurs des acquis sociaux"" alors que , l'un comme ministre, l'autre comme député, ont élaboré, voté et mis en oeuvre une politique anti- ouvrière et anti-populaire.";0
Parti des travailleurs;GR;En pratiquant une politique de droite, ils se sont attaqué à tous les acquis des travailleurs et ouvrent ainsi la route à la droite et à l'extrême-droite !;1
Parti des travailleurs;GR;Vraie droite et fausse gauche - au delà des joutes verbales et de la course aux postes ministériels - sont en fait d'accord sur l'essentiel : ils ne cessent de répéter que demain il faudra se serrer encore plus la ceinture !;1
RPR;Droite;"L'Union pour la France, c'est Lionel COURBEY et moi-même qui la représentons. Cette Union, vous l'avez souhaitée, nous l'avons voulue et réalisée : elle est le meilleur gage de ""la volonté d'en sortir"", votre aspiration la plus profonde.";1
RPR;Droite;Après 12 ans de Socialisme, il y a ceux qui, pour faire oublier leurs responsabilités et leur impuissance, parlent de fatalité : fatalité du chômage, de l'immigration, de l'insécurité …;1
RPR;Droite;Et parmi eux, celui qui, démissionnant en pleine guerre, est devenu le symbole de l'abaissement de l'image de la France dans le monde libre.;1
RPR;Droite;Nous refusons la fatalité de l'échec. Avec vous, nous avons la ferme volonté d'en sortir, convaincus qu'une autre route, même rude, conduira à un meilleur avenir.;1
RPR;Droite;"Pour vous représenter, vous avez besoin d'un homme honnête, compétent, déterminé,
au service de chacune et chacun d'entre vous, au service du Territoire de Belfort, au service du redressement de la France.";1
RPR;Droite;"CRISE MORALE : corruption, affaires, argent sale du PS, sang contaminé ...
CRISE SOCIALE : 3 millions de chômeurs, 5 millions d'exclus, la nouvelle pauvreté, menaces sur la Sécurité Sociale et les retraites ...
CRISE ÉCONOMIQUE : endettement et déficit publics entraînant l'argent cher, l'effondrement des investissements et les faillites ...";0
RPR;Droite;"· LA VOLONTÉ DE CRÉER DES EMPLOIS, c'est :
- doper immédiatement le secteur Bâtiment et Travaux Publics
- relancer la consommation et les investissements
- payer les dettes de l'Etat en privatisant et en gérant enfin au plus près
· LA VOLONTÉ DE LUTTER CONTRE LE CHÔMAGE DES JEUNES :
- en renforçant la formation professionnelle, par le mi-temps école-entreprise
- en adaptant les qualifications aux emplois offerts
· LA VOLONTÉ DE DÉFENDRE NOTRE PROTECTION SOCIALE :
- retraite par répartition, incitation à l'Epargne-retraite
- sauver la sécurité sociale en responsabilisant chaque caisse
· LA VOLONTÉ D'EN FINIR AVEC L'IMMIGRATION CLANDESTINE :
- contrôles efficaces et renforcés, cartes d'identité infalsifiables
- réforme du Code de la nationalité";0
RPR;Droite;L'Assemblée Nationale est une assemblée élue pour tous les citoyens. Vous et vos villes devez y être représentés et entendus.;1
